Node,Distance,Azimut,SN,Heure_inst
R0,0,0,1268,14h07
R1-01,5,0,5301,14h16
R1-02,5,72,295,14h19
R1-03,5,144,956,14h22
R1-04,5,216,413,14h23
R1-05,5,288,1828,14h24
R2-01,10,36,679,14h26
R2-02,10,96,908,15h
R2-03,10,156,437,14h29
R2-04,10,216,1076,14h31
R2-05,10,276,891,14h32
R2-06,10,336,8304,14h33
R3-01,20,66,668,14h34
R3-02,20,126,546,14h35
R3-03,20,186,597,14h36
R3-04,20,246,5325,14h37
R3-05,20,306,2023,14h38
R3-06,20,6,1106,14h39
R4-01,40,96,2948,14h40
R4-02,40,156,771,14h41
R4-03,40,216,674,14h42
R4-04,40,276,5270,14h43
R4-05,40,336,2606,14h44
R4-06,40,36,2194,14h45